sid,date,name,creator,licence,access,group_count,individual_count,intervention_count,output_count,timecourse_count,study_count,study_count_cum,group_count_cum,individual_count_cum,intervention_count_cum,output_count_cum,timecourse_count_cum
PKDB00024,2019-05-07,Baraka1990,mkoenig,open,public,1,0,3,32,2,1,1,1,0,3,32,2
PKDB00029,2019-05-07,Jensen2004,mkoenig,closed,public,1,0,1,24,3,1,2,2,0,4,56,5
PKDB00023,2019-05-07,Ameer1981,mkoenig,closed,public,0,0,0,0,0,1,3,2,0,4,56,5
PKDB00028,2019-05-07,Iqbal1995,jbrandhorst,closed,public,1,0,2,34,2,1,4,3,0,6,90,7
PKDB00026,2019-05-07,Chiew2010,mkoenig,closed,public,1,0,2,50,6,1,5,4,0,8,140,13
PKDB00022,2019-05-07,Albert1974,mkoenig,open,public,1,0,2,26,2,1,6,5,0,10,166,15
PKDB00027,2019-05-07,Critchley2005,mkoenig,closed,public,3,0,1,81,8,1,7,8,0,11,247,23
PKDB00119,2019-05-13,Malan1985,jbrandhorst,open,public,1,0,3,39,3,1,8,9,0,14,286,26
PKDB00122,2019-05-14,Briant1976,jbrandhorst,closed,public,7,57,1,69,0,1,9,16,57,15,355,26
PKDB00123,2019-05-14,Lau1994,mkoenig,closed,public,1,6,1,62,4,1,10,17,63,16,417,30
PKDB00121,2019-05-14,Ganetsky2013,jbrandhorst,open,public,1,0,2,96,10,1,11,18,63,18,513,40
PKDB00124,2019-05-14,Perucca1979,mkoenig,open,public,3,0,2,68,6,1,12,21,63,20,581,46
PKDB00130,2019-06-12,Miners1988,jbrandhorst,open,public,3,16,1,108,0,1,13,24,79,21,689,46
PKDB00131,2019-06-12,Divoll1982,jbrandhorst,open,public,7,1,3,50,3,1,14,31,80,24,739,49
PKDB00133,2019-06-20,Itoh2002,jbrandhorst,closed,public,1,0,3,97,11,1,15,32,80,27,836,60
PKDB00146,2019-07-28,Gwilt1963,jbrandhorst,closed,public,3,0,3,17,4,1,16,35,80,30,853,64
PKDB00149,2019-07-28,Itoh2000,jbrandhorst,closed,public,1,0,3,101,13,1,17,36,80,33,954,77
PKDB00160,2019-07-28,Adithan1982,jbrandhorst,closed,public,1,10,1,60,2,1,18,37,90,34,1014,79
PKDB00159,2019-07-28,Jack1985,mkoenig,closed,public,1,0,7,36,0,1,19,38,90,41,1050,79
PKDB00156,2019-07-28,Levy1971,jbrandhorst,open,public,1,3,10,35,26,1,20,39,93,51,1085,105
PKDB00155,2019-07-28,Forrest1979,jbrandhorst,closed,public,5,15,1,116,12,1,21,44,108,52,1201,117
PKDB00164,2019-07-28,Mucklow1980,jbrandhorst,closed,public,24,0,2,24,0,1,22,68,108,54,1225,117
PKDB00154,2019-07-28,Liukas2011,jbrandhorst,open,public,5,238,1,369,12,1,23,73,346,55,1594,129
PKDB00141,2019-07-28,Kamali1993,jbrandhorst,closed,public,1,0,2,32,2,1,24,74,346,57,1626,131
PKDB00145,2019-07-28,Chen1996,jbrandhorst,closed,public,6,0,2,140,20,1,25,80,346,59,1766,151
PKDB00147,2019-07-28,McGilveray1972,jbrandhorst,closed,public,3,8,5,150,36,1,26,83,354,64,1916,187
PKDB00158,2019-07-28,Mitchell1983,jbrandhorst,closed,public,3,0,1,32,2,1,27,86,354,65,1948,189
PKDB00150,2019-07-28,Miners1983,jbrandhorst,open,public,4,0,1,33,0,1,28,90,354,66,1981,189
PKDB00163,2019-07-28,Kulo2014,jbrandhorst,closed,public,5,146,1,170,0,1,29,95,500,67,2151,189
PKDB00161,2019-07-28,Miners1986,jbrandhorst,closed,public,3,20,1,132,0,1,30,98,520,68,2283,189
PKDB00139,2019-07-28,Kim2011,jbrandhorst,closed,public,1,0,2,85,6,1,31,99,520,70,2368,195
PKDB00143,2019-07-28,Osborne1991,jbrandhorst,closed,public,3,0,1,20,0,1,32,102,520,71,2388,195
PKDB00153,2019-07-28,Divoll1982b,jbrandhorst,closed,public,3,49,4,140,4,1,33,105,569,75,2528,199
PKDB00151,2019-07-28,Prescott1981,jbrandhorst,open,public,3,0,2,70,6,1,34,108,569,77,2598,205
PKDB00140,2019-07-28,Miners1984,jbrandhorst,open,public,5,0,4,66,0,1,35,113,569,81,2664,205
PKDB00165,2019-07-29,Prescott1973,jbrandhorst,closed,public,12,11,1,45,8,1,36,125,580,82,2709,213
PKDB00166,2019-09-10,Ochs1984,jbrandhorst,closed,public,4,123,3,185,2,1,37,129,703,85,2894,215
PKDB00169,2019-09-11,Kietzmann1990,jbrandhorst,closed,public,3,39,1,320,26,1,38,132,742,86,3214,241
PKDB00170,2019-09-12,Davis1976,jbrandhorst,closed,public,7,30,35,58,0,1,39,139,772,121,3272,241
PKDB00172,2019-09-12,Glynn1973,jbrandhorst,closed,public,1,0,4,64,8,1,40,140,772,125,3336,249
PKDB00176,2019-09-20,Bedjaoui1984,jbrandhorst,closed,public,3,25,1,205,2,1,41,143,797,126,3541,251
PKDB00183,2019-09-26,Paintaud1998,jbrandhorst,closed,public,1,15,3,266,32,1,42,144,812,129,3807,283
PKDB00180,2019-09-26,Bannwarth1992,jbrandhorst,closed,public,12,0,1,90,22,1,43,156,812,130,3897,305
PKDB00193,2019-09-30,Bannwarth2001,jbrandhorst,closed,public,1,0,2,26,2,1,44,157,812,132,3923,307
PKDB00184,2019-09-30,Douglas1996,jbrandhorst,closed,public,1,0,2,24,2,1,45,158,812,134,3947,309
PKDB00189,2019-09-30,Langford2016,jbrandhorst,closed,public,4,0,3,62,6,1,46,162,812,137,4009,315
PKDB00191,2019-09-30,Kamali1993a,jbrandhorst,closed,public,3,19,1,105,0,1,47,165,831,138,4114,315
PKDB00195,2019-09-30,Clements1984,mkoenig,open,public,1,0,5,66,4,1,48,166,831,143,4180,319
PKDB00194,2019-09-30,Nelson1963,jbrandhorst,closed,public,1,9,1,27,18,1,49,167,840,144,4207,337
PKDB00188,2019-09-30,Clements1978,jbrandhorst,closed,public,4,8,4,112,10,1,50,171,848,148,4319,347
PKDB00190,2019-09-30,Fulton1979,jbrandhorst,closed,public,3,0,2,10,0,1,51,174,848,150,4329,347
PKDB00186,2019-09-30,Clements1976,jbrandhorst,closed,public,1,4,1,8,0,1,52,175,852,151,4337,347
PKDB00196,2019-09-30,Divoll1982c,jbrandhorst,closed,public,5,66,1,100,2,1,53,180,918,152,4437,349
PKDB00200,2019-10-01,Prescott1968,jbrandhorst,closed,public,3,8,3,80,16,1,54,183,926,155,4517,365
PKDB00197,2019-10-01,Abernethy1982a,mkoenig,closed,public,3,34,1,54,2,1,55,186,960,156,4571,367
PKDB00198,2019-10-01,Abernethy1982,jbrandhorst,closed,public,7,46,1,92,4,1,56,193,1006,157,4663,371
PKDB00212,2019-10-10,Depre1992,jbrandhorst,closed,public,3,0,4,25,2,1,57,196,1006,161,4688,373
PKDB00214,2019-10-12,Kamali1992,jbrandhorst,closed,public,1,0,2,48,4,1,58,197,1006,163,4736,377
PKDB00213,2019-10-12,Lowenthal1976,jbrandhorst,closed,public,4,13,1,118,9,1,59,201,1019,164,4854,386
PKDB00216,2019-10-12,Grattan2000,jbrandhorst,closed,public,1,0,5,70,5,1,60,202,1019,169,4924,391
PKDB00219,2019-10-25,Nimmo1978,jbrandhorst,closed,public,1,0,3,18,2,1,61,203,1019,172,4942,393
PKDB00218,2019-10-25,Lee1981,jbrandhorst,closed,public,3,13,1,64,2,1,62,206,1032,173,5006,395
PKDB00220,2019-10-26,Carlo1955,jbrandhorst,closed,public,3,24,8,576,104,1,63,209,1056,181,5582,499
PKDB00222,2019-10-26,HolmerPettersson2004,jbrandhorst,closed,public,6,0,5,15,5,1,64,215,1056,186,5597,504
PKDB00223,2019-10-27,Adithan1988,jbrandhorst,closed,public,5,19,1,93,3,1,65,220,1075,187,5690,507
PKDB00225,2019-10-27,Nimmo1973,jbrandhorst,closed,public,3,1,3,60,7,1,66,223,1076,190,5750,514
PKDB00226,2019-10-27,Liedtke1979,jbrandhorst,closed,public,8,0,7,80,7,1,67,231,1076,197,5830,521
PKDB00256,2019-11-06,Douglas1978,jbrandhorst,closed,public,3,6,2,26,2,1,68,234,1082,199,5856,523
PKDB00259,2019-11-06,Kolawole2002,jbrandhorst,closed,public,1,0,5,51,3,1,69,235,1082,204,5907,526
PKDB00258,2019-11-06,Adjepon-Yamoah1986,jbrandhorst,closed,public,1,6,2,82,2,1,70,236,1088,206,5989,528
PKDB00255,2019-11-06,Forfar1980,jbrandhorst,closed,public,4,24,1,48,3,1,71,240,1112,207,6037,531
PKDB00262,2019-11-08,Brodie1980,jbrandhorst,closed,public,5,0,3,12,0,1,72,245,1112,210,6049,531
PKDB00265,2019-11-09,Hall1976,jbrandhorst,closed,public,2,6,3,50,4,1,73,247,1118,213,6099,535
PKDB00266,2019-11-09,Ali1993,jbrandhorst,closed,public,11,0,1,23,2,1,74,258,1118,214,6122,537
24517114,2020-01-25,Berg2014,jbrandhorst,closed,public,3,0,3,40,4,1,75,261,1118,217,6162,541
1577043,2020-01-25,Nielsen1992,jbrandhorst,closed,public,1,0,3,24,3,1,76,262,1118,220,6186,544
4850385,2020-01-25,Mrochek1974,jbrandhorst,closed,public,1,2,1,0,0,1,77,263,1120,221,6186,544
10412886,2020-01-25,Esteban1999,jbrandhorst,closed,public,5,0,1,24,0,1,78,268,1120,222,6210,544
Itoh2001,2020-01-25,Itoh2001,jbrandhorst,closed,public,1,0,2,56,7,1,79,269,1120,224,6266,551
4851431,2020-01-25,Chiou1974,jbrandhorst,closed,public,0,0,0,0,0,1,80,269,1120,224,6266,551
3604267,2020-01-25,Kamali1987,jbrandhorst,closed,public,4,0,8,92,4,1,81,273,1120,232,6358,555
Borin1989,2020-01-25,Borin1989,jbrandhorst,closed,public,1,15,5,60,5,1,82,274,1135,237,6418,560
7002186,2020-01-25,Prescott1980,mkoenig,open,public,0,0,0,0,0,1,83,274,1135,237,6418,560
